x,y,error_x,error_y
5.567621028152014,-0.8284421278449416,0.04,0.04
5.477334771343625,-0.6814523563393041,0.04,0.04
5.4852099825281,-0.624027670489432,0.04,0.04
5.4800996983916,-0.5495653107293812,0.04,0.04
5.404161433249489,-0.45691553199724,0.04,0.04
5.399794271643532,-0.33105103420425674,0.04,0.04
5.355815827349096,-0.22565425200314587,0.04,0.04
5.234037092926798,-0.15310101573576346,0.04,0.04
5.2856458027854885,-0.038219703533582824,0.04,0.04
5.202131030842585,0.0032109777901330044,0.04,0.04
5.078858312651006,0.155123783857679,0.04,0.04
5.015520196979123,0.17076510776858195,0.04,0.04
4.954007149375334,0.3206241576148244,0.04,0.04
4.827838758277545,0.43986512358580854,0.04,0.04
4.726358014352888,0.5368051071332338,0.04,0.04
4.569196273372488,0.6402527739639774,0.04,0.04
4.53446907649012,0.58521369119342,0.04,0.04
4.3961346915210475,0.7506868357932818,0.04,0.04
4.2752289928978575,0.8383999881848953,0.04,0.04
4.070693922484057,0.8959795046014627,0.04,0.04
4.059987195082393,0.8828563088254161,0.04,0.04
3.857314430588147,0.9963092608695236,0.04,0.04
3.6881023280769547,1.1104633850759518,0.04,0.04
3.632759998454069,1.0286964002298418,0.04,0.04
3.3936592086975685,1.1563636780951139,0.04,0.04
3.1775078085043695,1.2266231288116856,0.04,0.04
3.055891012398587,1.1950974589868473,0.04,0.04
2.813966692246502,1.2830355275388603,0.04,0.04
2.77804383947352,1.249488635529543,0.04,0.04
2.5474884095259,1.2882299502736079,0.04,0.04
2.360381594817075,1.3121581969268583,0.04,0.04
2.2571263844575666,1.3723374028697422,0.04,0.04
1.9708900396943885,1.3764502252481456,0.04,0.04
1.8799744098667777,1.4293080550984087,0.04,0.04
1.5968827292772128,1.3601735818213345,0.04,0.04
1.473513626413328,1.3947489739963002,0.04,0.04
1.2723718847739511,1.436227804935433,0.04,0.04
1.1999217894748073,1.4135745336789238,0.04,0.04
1.0337133718465517,1.3271038224662075,0.04,0.04
0.7725958707289311,1.391253242315294,0.04,0.04
0.643545593860484,1.3257046916078297,0.04,0.04
0.4286531616832057,1.3361337550466634,0.04,0.04
0.2866544979933299,1.3043515524502545,0.04,0.04
0.06438721581777089,1.3084894707661672,0.04,0.04
-0.14043369474237644,1.227623497202606,0.04,0.04
-0.3076589028094219,1.1079792745250139,0.04,0.04
-0.38014977582169385,1.082515781325656,0.04,0.04
-0.4616933075113161,1.1178335213412012,0.04,0.04
-0.6928114605880942,1.0257285048573614,0.04,0.04
-0.8721251939459262,1.025356550028647,0.04,0.04
-0.9174784529416563,0.9309668141469069,0.04,0.04
-1.1222628298933621,0.8267945957701233,0.04,0.04
-1.2601932365389936,0.83344497080919,0.04,0.04
-1.3810763458873532,0.6880419205099362,0.04,0.04
-1.5175809519171173,0.5653597767363542,0.04,0.04
-1.639704983495674,0.6542293861317279,0.04,0.04
-1.7934665161412116,0.4166975999385535,0.04,0.04
-1.8182280499579686,0.43742987355379875,0.04,0.04
-1.9375861924250601,0.3659324810513408,0.04,0.04
-1.9746586905331915,0.248393691964661,0.04,0.04
-2.11862821034759,0.08720835231310461,0.04,0.04
-2.254365885347021,0.10525566705706782,0.04,0.04
-2.2489239078347434,-0.08463713568658446,0.04,0.04
-2.236244573310747,-0.17390775497073416,0.04,0.04
-2.3711883677006735,-0.22918567225991313,0.04,0.04
-2.4353059231681247,-0.27891376233142817,0.04,0.04
-2.483462031284846,-0.3951702752137674,0.04,0.04
-2.5057997195147537,-0.47225608376965694,0.04,0.04
-2.4959049254529626,-0.6205392736343278,0.04,0.04
-2.5431715499035867,-0.7081847046911054,0.04,0.04
-2.4400944353760967,-0.8454854715266078,0.04,0.04
-2.507277675608274,-0.9113772449000397,0.04,0.04
-2.479551241121167,-0.9734813535151576,0.04,0.04
-2.406269466242389,-1.1073063069578466,0.04,0.04
-2.3755856135778424,-1.1738067863644157,0.04,0.04
-2.408220967407997,-1.3124770247658724,0.04,0.04
-2.3425724741638736,-1.4089767239582751,0.04,0.04
-2.27482500180552,-1.4782706416357807,0.04,0.04
-2.2526537009729406,-1.5808198730912855,0.04,0.04
-2.249231604324143,-1.6409596599345737,0.04,0.04
-2.0776872434615523,-1.7474126163943893,0.04,0.04
-1.986608035234131,-1.772897205624884,0.04,0.04
-1.9171750698355443,-1.9371581904734334,0.04,0.04
-1.8752348011537396,-2.0210634651848776,0.04,0.04
-1.7439090699921085,-2.1347327975948485,0.04,0.04
-1.650956722626645,-2.170766445392446,0.04,0.04
-1.524274313507557,-2.22015203952048,0.04,0.04
-1.3393040476004998,-2.3499496534273567,0.04,0.04
-1.2030674106117327,-2.3921355909306463,0.04,0.04
-1.1049781760224644,-2.428014954800751,0.04,0.04
-0.9720094026438016,-2.525105627390093,0.04,0.04
-0.8240758495876576,-2.600602879670814,0.04,0.04
-0.7040776132726683,-2.597137432155658,0.04,0.04
-0.5546236480831076,-2.6847065633018548,0.04,0.04
-0.42242045738703815,-2.7214475898551083,0.04,0.04
-0.2377696544722361,-2.735275771376901,0.04,0.04
0.018297752849355364,-2.7771484628744063,0.04,0.04
0.12926227684478162,-2.873604882706383,0.04,0.04
0.2502473415631352,-2.9133415246282546,0.04,0.04
0.416975551647958,-2.9093459361975924,0.04,0.04
0.5753366645113118,-2.9501529082095646,0.04,0.04
